row,col,type,dynamic_change
0,0,wall,static
0,1,wall,static
0,2,wall,static
0,3,wall,static
0,4,wall,static
0,5,wall,static
0,6,wall,static
0,7,wall,static
0,8,wall,static
0,9,wall,static
0,10,wall,static
0,11,wall,static
0,12,wall,static
0,13,wall,static
0,14,wall,static
0,15,wall,static
0,16,wall,static
0,17,wall,static
0,18,wall,static
0,19,wall,static
1,0,wall,static
1,1,path,static
1,2,path,static
1,3,path,static
1,4,wall,static
1,5,path,static
1,6,path,static
1,7,wall,static
1,8,griever,static
1,9,path,static
1,10,wall,static
1,11,path,static
1,12,path,static
1,13,griever,static
1,14,path,static
1,15,wall,static
1,16,path,static
1,17,path,static
1,18,path,static
1,19,wall,static
2,0,wall,static
2,1,path,static
2,2,wall,static
2,3,path,static
2,4,wall,static
2,5,wall,static
2,6,wall,static
2,7,wall,static
2,8,path,static
2,9,wall,static
2,10,path,static
2,11,wall,static
2,12,wall,static
2,13,path,static
2,14,wall,static
2,15,path,static
2,16,wall,static
2,17,wall,static
2,18,goal,static
2,19,wall,static
3,0,wall,static
3,1,path,static
3,2,wall,static
3,3,path,static
3,4,wall,static
3,5,path,static
3,6,wall,static
3,7,wall,static
3,8,path,static
3,9,griever,static
3,10,wall,static
3,11,wall,static
3,12,wall,static
3,13,wall,static
3,14,path,static
3,15,wall,static
3,16,wall,static
3,17,wall,static
3,18,wall,static
3,19,wall,static
4,0,wall,static
4,1,path,static
4,2,path,static
4,3,wall,static
4,4,path,static
4,5,path,static
4,6,path,static
4,7,wall,static
4,8,wall,static
4,9,path,static
4,10,wall,static
4,11,path,static
4,12,griever,static
4,13,path,static
4,14,path,static
4,15,wall,static
4,16,path,static
4,17,path,static
4,18,path,static
4,19,wall,static
5,0,wall,static
5,1,wall,static
5,2,path,static
5,3,wall,static
5,4,path,static
5,5,wall,static
5,6,path,static
5,7,wall,static
5,8,path,static
5,9,path,static
5,10,path,static
5,11,wall,static
5,12,path,static
5,13,path,static
5,14,path,static
5,15,path,static
5,16,wall,static
5,17,wall,static
5,18,wall,static
5,19,wall,static
6,0,wall,static
6,1,path,static
6,2,wall,static
6,3,wall,static
6,4,wall,static
6,5,path,static
6,6,wall,static
6,7,path,static
6,8,wall,static
6,9,wall,static
6,10,wall,static
6,11,wall,static
6,12,wall,static
6,13,path,static
6,14,wall,static
6,15,path,static
6,16,wall,static
6,17,griever,static
6,18,wall,static
6,19,wall,static
7,0,wall,static
7,1,path,static
7,2,wall,static
7,3,path,static
7,4,wall,static
7,5,wall,static
7,6,wall,static
7,7,wall,static
7,8,path,static
7,9,wall,static
7,10,path,static
7,11,path,static
7,12,path,static
7,13,path,static
7,14,wall,static
7,15,path,static
7,16,path,static
7,17,wall,static
7,18,path,static
7,19,wall,static
8,0,wall,static
8,1,wall,static
8,2,wall,static
8,3,wall,static
8,4,path,static
8,5,wall,static
8,6,wall,static
8,7,wall,static
8,8,wall,static
8,9,wall,static
8,10,path,static
8,11,wall,static
8,12,path,static
8,13,griever,static
8,14,wall,static
8,15,path,static
8,16,wall,static
8,17,wall,static
8,18,wall,static
8,19,wall,static
9,0,wall,static
9,1,path,static
9,2,path,static
9,3,wall,static
9,4,wall,static
9,5,path,static
9,6,path,static
9,7,path,static
9,8,wall,static
9,9,path,static
9,10,wall,static
9,11,wall,static
9,12,path,static
9,13,wall,static
9,14,path,static
9,15,wall,static
9,16,wall,static
9,17,wall,static
9,18,wall,static
9,19,wall,static
10,0,wall,static
10,1,wall,static
10,2,wall,static
10,3,wall,static
10,4,wall,static
10,5,path,static
10,6,griever,static
10,7,path,static
10,8,path,static
10,9,wall,static
10,10,path,static
10,11,path,static
10,12,path,static
10,13,wall,static
10,14,path,static
10,15,wall,static
10,16,path,static
10,17,wall,static
10,18,path,static
10,19,wall,static
11,0,wall,static
11,1,wall,static
11,2,path,static
11,3,path,static
11,4,path,static
11,5,path,static
11,6,wall,static
11,7,wall,static
11,8,wall,static
11,9,wall,static
11,10,wall,static
11,11,wall,static
11,12,wall,static
11,13,path,static
11,14,wall,static
11,15,path,static
11,16,path,static
11,17,wall,static
11,18,wall,static
11,19,wall,static
